call_id,final_grade,final_confidence,1.1,10.2,10.3,10.6,2.1,3.1,3.3,3.6,4.1,5.1,6.1,7.1,7.2,7.3,7.4,9.1,9.3,risk_compliance,risk_customer_satisfaction,risk_data_security
call_01,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,blind1_outlier,sonnet_outlier,blind1_outlier,all_equal,all_equal
call_02,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind2_outlier,blind1_outlier,all_equal,all_equal,all_equal
call_03,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data
call_04,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data
call_05,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data,missing_data
call_06,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal
call_07,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,blind2_outlier,blind2_outlier,blind2_outlier,sonnet_outlier
call_08,blind2_outlier,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,blind2_outlier,all_equal,all_equal,blind2_outlier,all_equal,blind2_outlier,blind2_outlier,all_equal
call_09,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,blind1_outlier,all_equal,blind1_outlier,all_equal,all_equal
call_10,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,blind1_outlier,all_equal,blind1_outlier,all_equal,all_equal
call_11,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind2_outlier,blind1_outlier,blind2_outlier,blind2_outlier,all_equal
call_12,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind2_outlier,blind2_outlier,blind2_outlier,all_equal
call_13,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_different,all_equal,all_equal,all_equal,sonnet_outlier
call_14,all_equal,blind2_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,sonnet_outlier
call_15,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal
call_16,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,all_equal
call_17,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,blind1_outlier,all_equal,all_equal,all_equal
call_18,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind2_outlier,all_equal,sonnet_outlier
call_19,all_equal,blind1_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,sonnet_outlier,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal
call_20,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,sonnet_outlier,all_equal,all_equal,blind1_outlier,blind2_outlier,all_equal,all_equal,all_equal,blind1_outlier,all_equal,all_equal,sonnet_outlier
