field,total_calls_used,all_equal_count,all_equal_pct,sonnet_outlier_count,sonnet_outlier_pct,blind1_outlier_count,blind1_outlier_pct,blind2_outlier_count,blind2_outlier_pct,all_different_count,all_different_pct,missing_data_count
final_grade,17,13,76.47058823529412,0,0.0,3,17.647058823529413,1,5.88235294117647,0,0.0,3
final_confidence,17,9,52.94117647058824,4,23.52941176470588,3,17.647058823529413,1,5.88235294117647,0,0.0,3
1.1,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
2.1,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
3.1,17,9,52.94117647058824,0,0.0,8,47.05882352941176,0,0.0,0,0.0,3
3.3,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
3.6,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
4.1,17,9,52.94117647058824,8,47.05882352941176,0,0.0,0,0.0,0,0.0,3
5.1,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
6.1,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
7.1,17,16,94.11764705882352,0,0.0,1,5.88235294117647,0,0.0,0,0.0,3
7.2,17,12,70.58823529411765,0,0.0,3,17.647058823529413,2,11.76470588235294,0,0.0,3
7.3,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
7.4,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
9.1,17,7,41.17647058823529,0,0.0,6,35.294117647058826,3,17.647058823529413,1,5.88235294117647,3
9.3,17,8,47.05882352941176,1,5.88235294117647,6,35.294117647058826,2,11.76470588235294,0,0.0,3
10.2,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
10.3,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
10.6,17,17,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3
risk_compliance,17,9,52.94117647058824,0,0.0,3,17.647058823529413,5,29.411764705882355,0,0.0,3
risk_customer_satisfaction,17,13,76.47058823529412,0,0.0,0,0.0,4,23.52941176470588,0,0.0,3
risk_data_security,17,12,70.58823529411765,5,29.411764705882355,0,0.0,0,0.0,0,0.0,3
